name,type,company,description,amount,notes,notes2,notes3,notes4
Colette Giudicelli,executive,Collaborateur bénévole de la ville de Menton,Conseiller technique,NÉANT,,0 €,,
Colette Giudicelli,executive,Conseil portuaire du port départemental de Menton,Président délégué,NÉANT,,0 €,,
Colette Giudicelli,executive,Institut médico éducatif de Menton,Président du conseil d'administration,NÉANT,,0,,
Colette Giudicelli,executive,Maison départementale des personnes handicapées des Alpes-Maritimes,Membre de la commission exécutive,NÉANT,,0,,
Colette Giudicelli,executive,Mission locale EST 06,Membre,NÉANT,,0,,
Colette Giudicelli,executive,Société HLM du Logis familial,Membre du conseil d'administration,NÉANT,,0,,
Colette Langlade,executive,NÉANT,,,,,,
Colette Mélot,executive,NÉANT,,,,,,
Conchita Lacuey,executive,AQUITANIS (office public de l'habitat de la communauté urbaine de bordeaux),Présidente,,,,,
Corinne Bouchoux,executive,NÉANT,,,,,,
Corinne Erhel,executive,NÉANT,,,,,,
Corinne Féret,executive,SEM Normandie aménagement,Membre du Conseil d'Administration,NÉANT,,0,,
Corinne Féret,executive,CHU de Caen,Membre du Conseil d'Administration,NÉANT,,0,,
Corinne Féret,executive,SEM Caen Expo Congrès,Membre du Conseil d'Administration,NÉANT,,0,,
Corinne Féret,executive,SEM Saphyr,Membre du Conseil d'Administration,NÉANT,,0,,
Corinne Imbert,executive,Etabilissement départemental de Matha (Maison de retraite+Foyer de Vie),Président du Conseil d'Administration,NÉANT,Aucune rémunération,0,,
Corinne Imbert,executive,ADEI Association Dépatementale pour l'Education et l'Insertion,Vice-Président du Conseil 'Administration,,Aucune rémunération,,,
Corinne Imbert,executive,CDC Val de Saintonge,Membre du bureau,,,,,
Corinne Imbert,executive,EURL Pharmacie,Gérante,BIC,,,,
Corinne Imbert,executive,SCI,Gérante,Revenus fonciers affectés au compte courant dans la SCI,,,,
Cyril Pellevat,executive,NÉANT,,,,,,
Damien Abad,executive,NÉANT,,,,,,
Damien Meslot,executive,NÉANT,,,,,,
Daniel Boisserie,executive,NÉANT,,,,,,
Daniel Chasseing,executive,NÉANT,,,,,,
Daniel Dubois,executive,NÉANT,,,,,,
Daniel Fasquelle,executive,SCI LEONETTI (familiale),Gérant,NÉANT,,0,,
Daniel Fasquelle,executive,CHAM,Membre du Conseil de Surveillance,NÉANT,,0,,
Daniel Fasquelle,executive,EPIC Touquet Tourisme,Président,NÉANT,,0,,
Daniel Fasquelle,executive,SEMAT (Société d'Economie Mixte de l'Aéroport du Touquet),Président,NÉANT,,0,,
Daniel Gibbes,executive,REMAX GECKO  CARAIBES SARL,Gérant,,,,,
Daniel Gibbes,executive,SEmSAMAR,Membre du Conseil d'Administration,2013 : 1200 EUR,1200 EUR en 2013  (jetons présence),1200,,
Daniel Goldberg,executive,NÉANT,,,,,,
Daniel Gremillet,executive,Association Foncière de Deycimont,Président,NÉANT,,0,,
Daniel Gremillet,executive,Etablissement Public Foncier Lorraine,Administrateur représentant la région Lorraine,2013 : 195 EUR par an,Jetons de présence,195,,
Daniel Laurent,executive,NÉANT,,,,,,
Daniel Percheron,executive,Association Euralens,Président,,,,,
Daniel Raoul,executive,SEM Angers Expo Congrès,,,"Tourisme, expositions",,,
Daniel Reiner,executive,NÉANT,,,,,,
Daniel Vaillant,executive,ONDRP,Membre,NÉANT,Participation aux réunions de l'observatoire comme membre représentant l'Assemblée Nationale,0,,
Danielle Auroi,executive,NÉANT,,,,,,
Danielle Michel,executive,ADIL,Présidente,NÉANT,,0,,
Danielle Michel,executive,Centre de gestion des Landes,Vice-présidente,7200 EUR par an,600 EUR/mensuel,7200,,
Danielle Michel,executive,Mission locale Landaise,Trésorière,NÉANT,,0,,
Danielle Michel,executive,Syndicat Mixte Abesse,Vice-Présidente,NÉANT,,0,,
David Assouline,executive,,,,,,,
David Assouline,executive,,,,,,,
David Assouline,executive,AGOSPAP (association oeuvres sociales),Conseil d'Administration,NÉANT,au titre du Conseil de Paris,0,,
David Assouline,executive,Centre National du Cinéma et de l'Image animée,Membre du Conseil d'Administration,NÉANT,au titre du Sénat 26/07/12,0,,
David Assouline,executive,Collège Heinkhal Menahem Sinaï,Conseil d'Administration,NÉANT,au titre du Département de Paris du 15/10/12,0,,
David Assouline,executive,Collège Hélène Boucher,Membre suppléant du Conseil d'Administration,NÉANT,au titre du département du 26/05/08,0,,
David Assouline,executive,Collège Lucie Faure,Membre suppléant du Conseil d'Administration,NÉANT,au titre de la Ville de Paris du 26/05/08,0,,
David Assouline,executive,Lycée professionel Charles de Gaulle,Membre suppléant du Conseil d'Administration,NÉANT,au titre du Conseil de Paris du 26/05/08,0,,
David Assouline,executive,Théâtre de la Ville,Membre du Conseil d'Administration,NÉANT,au titre du Conseil de Paris du 21/04/08 au 4/02/13,0,,
David Comet,executive,NÉANT,,,,,,
David Douillet,executive,,,,,,,
David Douillet,executive,,,,,,,
David Douillet,executive,,,,,,,
David Habib,executive,NÉANT,,,,,,
David Rachline,executive,Office du tourisme de Fréjus,Président,NÉANT,,0,,
David Rachline,executive,Centre communal d'action sociale (CCAS) de Fréjus,Président,NÉANT,,0,,
Delphine Bataille,executive,Agence de développement et de reservation touristique,Membre du conseil d'administration,NÉANT,,0,,
Delphine Bataille,executive,Agence technique départementale,Membre du Conseil d'administration,NÉANT,,0,,
Delphine Bataille,executive,Centre local d'information et de coordination gérontologique Vallée du Haut Escaut,Membre du Conseil d'administration,NÉANT,,0,,
Delphine Bataille,executive,Collège public Paul Longevin à Avesnes-les-Aubert,Membre du Conseil d'administration,NÉANT,,0,,
Delphine Bataille,executive,Commission consultative des services publics locaux du département du Nord,Membre de la Commission du Nord,NÉANT,,0,,
Delphine Bataille,executive,Réseau départemental des ruches d'entreprises du Nord,Membre du Conseil d'administration,NÉANT,,0,,
Delphine Bataille,executive,Société publique locale Ruches d'entreprises,Membre du conseil d'administration,NÉANT,,0,,
Delphine Bataille,executive,Syndicat mixte pour la reconversion du site de la BA 103 Cambrai-Epinoy,Membre du comité syndical,NÉANT,,0,,
Delphine Batho,executive,,,,,,,
Denis Baupin,executive,,,,,,,
Denis Baupin,executive,,,,,,,
Denis Baupin,executive,,,,,,,
Denis Baupin,executive,,,,,,,
Denis Baupin,executive,,,,,,,
Denis Baupin,executive,Atelier parisien d'urbanisme (association),Membre du conseil d'administration,NÉANT,Ancien Trésorier (2008-2012),0,,
Denis Baupin,executive,"BruitParif, association",Membre du conseil d'administration,NÉANT,,0,,
Denis Baupin,executive,Conseil supérieur de l'énergie,Vice président,NÉANT,,0,,
Denis Baupin,executive,SOLARVIP (filiale de la SEMAVIP),Représentant Ville de Paris,NÉANT,,0,,
Denis Jacquat,executive,NÉANT,,,,,,
Denys Robiliard,executive,SA Jacques Gabriel (HLM),Membre du Conseil d'Administration,NÉANT,,0,,
Denys Robiliard,executive,SEM 3 Vals aménagement,Membre du Conseil d'Administration,NÉANT,,0,,
Denys Robiliard,executive,SEM Territoire et développement,Membre du Conseil d'Administration,NÉANT,,0,,
Denys Robiliard,executive,Terre de Loire Habitat,Membre du Conseil d'Administration,NÉANT,,0,,
Didier Guillaume,executive,Conseil Général de la Drome,Président,NÉANT,,0,,
Didier Guillaume,executive,Association nationale des comités et commissions locales d'information,,NÉANT,,0,,
Didier Guillaume,executive,Association Pole scientifique Rovaltin (toxicologie environnementale et ecotoxicologie),,NÉANT,,0,,
Didier Guillaume,executive,AXELERA (Pôle de compétitivité Chimie-Environnement Lyon & Rhône-Alpes),,NÉANT,,0,,
Didier Guillaume,executive,CA pôle ecotox rovaltain,Toxicologie environnementale et ecotoxicologie,NÉANT,,0,,
Didier Guillaume,executive,Collège Jean Monnet Bourg-de-Péage,Conseil d'administration,NÉANT,,0,,
Didier Guillaume,executive,Collège privé Les maristes Bourg-de-Péage,Conseil d'administration,NÉANT,,0,,
Didier Guillaume,executive,COS pôle ecotox rovaltain,Toxicologie environnementale et ecotoxicologie,NÉANT,,0,,
Didier Guillaume,executive,Fondation coopération scientifique rovaltain pour la recherche en toxicologie,Toxicologie environnementale et ecotoxicologie,NÉANT,,0,,
Didier Guillaume,executive,"Minalogic (Pôle de compétitivité mondial Grenoble Rhône-Alpes / Numérique, Micro nanoélectronique, Logiciel)",,NÉANT,,"0,00 €",,
Didier Guillaume,executive,Plastipolis (plasturgie),,NÉANT,,0,,
Didier Guillaume,executive,Syndicat départemental énergie Drôme groupant les 369 communes du département,Délégué de ma commune,NÉANT,,0,,
Didier Guillaume,executive,Tennerdis (energies renouvelables),Membre,NÉANT,,0,,
Didier Mandelli,executive,Gérant de société,aménagement,NÉANT,,0,,
Didier Marie,executive,,,,,,,
Didier Marie,executive,,,,,,,
Didier Marie,executive,,,,,,,
Didier Marie,executive,OPH Habitat 76,Président,NÉANT,,0,,
Didier Marie,executive,Fédération des OPH,Membre du bureau,NÉANT,,0,,
Didier Marie,executive,Société des Autoroutes Paris Normandie,Membre du Conseil d'Administration,NÉANT,,0,,
Didier Marie,executive,Union sociale pour l'habitat,Membre du comité exécutif,NÉANT,,0,,
Didier Quentin,executive,NÉANT,,,,,,
Didier Robert,executive,SPCA Maraïna,Président Directeur Général,81600 EUR par an,16/10/2014 : démission,81600,,
Didier Robert,executive,Compagnie Air Austral,Président du Conseil de Surveillance,,Jeton de présence -  Démission en 2015,,,
Didier Robert,executive,SEMATRA,Président Directeur Général,NÉANT,,0,,
Dino Cinieri,executive,SARL C31,Gestion de portefeuille,NÉANT,,0,,
Dominique Baert,executive,Vilogia S.A.,Membre du Conseil d'Administration,NÉANT,Représentant LMCU,0,,
Dominique Baert,executive,Conseil de surveillance Hopital de Wattrelos,Président,NÉANT,,0,,
Dominique Bailly,executive,Société Publique Locale de la Pévèle,Gestion du Centre culturel le 'PACBO' et de la salle omnisports 'Pubeco Pévèle Arena' à Orchies (59),NÉANT,,0,,
Dominique Bussereau,executive,Assemblée des Départements de France,Membre Bureau,NÉANT,Membre Bureau,0,,
Dominique Bussereau,executive,CMA CGM,Membre du conseil d'administration,2013 : 9000 EUR,Depuis le 18/06/2012 ; Jetons de présence :  3 en 2013,9000,,
Dominique Bussereau,executive,SMIDEST Syndicat mixte pour le développement durable de l'estuaire de la Gironde,Président en alternance annuelle avec le département de la Gironde,NÉANT,,0,,
Dominique Chauvel,executive,NÉANT,,,,,,
Dominique de Legge,executive,NÉANT,,,,,,
Dominique Dord,executive,Hôpital Aix les Bains,président du conseil de surveillance,NÉANT,,0,,
Dominique Dord,executive,EPIC Office Tourisme Aix les Bains,Président,NÉANT,,0,,
Dominique Dord,executive,Rhône-Alpes Thermal,Président,NÉANT,,0,,
Dominique Dord,executive,SCI,Gérant,NÉANT,SCI porteuse de notre maison d'habitation,0,,
Dominique Dord,executive,SEM CARRA,Président,NÉANT,,0,,
Dominique Dord,executive,UMP,Secrétaire général adjoint,NÉANT,,0,,
Dominique Estrosi Sassone,executive,Régie Ligne d'Azur,Administrateur,,Aucun revenu déclaré,,,
Dominique Estrosi Sassone,executive,Association syndicat libre des canaux des arrosants de la Plaine du Var,Membre,,Aucun revenu déclaré,,,
Dominique Estrosi Sassone,executive,CCAS de la Ville de Nice,Administrateur,,Aucun revenu déclaré,,,
Dominique Estrosi Sassone,executive,Côte d'Azur Habitat,Président,,Aucun revenu déclaré,,,
Dominique Estrosi Sassone,executive,ERILIA,Administrateur,,Aucun revenu déclaré,,,
Dominique Estrosi Sassone,executive,Etablissement public d'aménagement de la Plaine du Var,Administrateur,,Aucun revenu déclaré,,,
Dominique Estrosi Sassone,executive,ICF Sud Est Méditerranée,Administrateur,,Aucun revenu déclaré,,,
Dominique Estrosi Sassone,executive,Logis familial,Administrateur,,Aucun revenu déclaré,,,
Dominique Estrosi Sassone,executive,Nouveau Logis Azur,Administrateur,,Aucun revenu déclaré,,,
Dominique Estrosi Sassone,executive,Observatoire des loyers des Alpes Maritimes,Administrateur,,Aucun revenu déclaré,,,
Dominique Estrosi Sassone,executive,Poste Habitat Provence,Administrateur,,Aucun revenu déclaré,,,
Dominique Estrosi Sassone,executive,SAEM locale habitat 06,Administrateur,,Aucun revenu déclaré,,,
Dominique Estrosi Sassone,executive,SPL Côte d'Azur Aménagement,Administrateur,,Aucun revenu déclaré,,,
Dominique Gillot,executive,EISTI (école d'ingénieurs),Membre du Conseil d'Administration,NÉANT,,0,,
Dominique Gillot,executive,Fondation Royaumont,Membre du Conseil d'Administration,NÉANT,,0,,
Dominique Gillot,executive,Syndicat mixte de la base de loisirs de Cergy-Pontoise,Présidente,NÉANT,,0,,
Dominique Le Mèner,executive,NÉANT,,,,,,
Dominique Lefebvre,executive,NÉANT,,,,,,
Dominique Nachury,executive,Caisse d'épargne Rhône-Alpes  CERA,Membre du conseil d'orientation et de surveillance,,Elue pour représenter les collectivités territoriales porteuses de parts ; jetons de présence versés à une association (Anti-Rouille IDEF du Rhône),,,
Dominique Orliac,executive,,,,,,,
Dominique Potier,executive,NÉANT,,,,,,
Dominique Raimbourg,executive,NÉANT,,,,,,
Dominique Tian,executive,COMPAGNIE HOTELIERE AEROPORT MARSEILLE PROVENCE (CHAMP),Président,NÉANT, Société par actions simplifiée au capital de 38127 EUR Activité d'hôtel restaurant,0,,
Dominique Tian,executive,C.R.F. LE GRAND LARGE Activité de centre de rééducation fonctionnelle,Gérant,NÉANT,Société à responsabilité limitée au capital de 382 680  EUR,0,,
Dominique Tian,executive,EMPIRE HOTEL,Président,NÉANT, Société par Actions Simplifiée au capital de 1 039 500  EUR Activité d'hôtel,0,,
Dominique Tian,executive,INTERBUILDING,Membre du Conseil d'Administration délégué,NÉANT,Société Anonyme de droit belge au capital de 372 000  EUR Activité d'hôtel,0,,
Dominique Tian,executive,Le MEDITERRANEE CLINIQUE DE SOINS DE SUITE DU CASTELLAS,Président,1497 EUR par an,"2013 : 1497 EUR, 7705 EUR = rémunérations consolidées entre 2009 et 2013",1497,,
Dominique Tian,executive,Lycée Mongrand situé à Marseille (6eme) 13 rue Mongrand,Membre du Conseil d'Administration,NÉANT,,0,,
Dominique Tian,executive,Lycée Périer situé à Marseille (8ème) 270 rue Paradis,Membre du Conseil d'Administration,NÉANT,,0,,
Dominique Tian,executive,Lycée technique Hôtelier situé à Marseille (8ème) 114 avenue André Zénatti,Membre du Conseil d'Administration,NÉANT,,0,,
Dominique Tian,executive,MAISON DE REPOS ET DE RETRAITE CENTRE DE GERONTOLOGIE LE CHATEAU DE VILLEMOISSON - EHPAD,Gérant,NÉANT,,0,,
Dominique Tian,executive,OVER LINE,Gérant,2013 : 48000 EUR,Société à responsabilité limitée au capital de 8 087 900 EUR Activité : Gestion de participations dans des sociétés françaises et étrangères,48000,,
Dominique Tian,executive,SA FOIRE INTERNATIONALE DE MARSEILLE (SAFIM),Membre du Conseil d'Administration,NÉANT,,0,,
Dominique Tian,executive,SCI,Gérant,NÉANT,"Société civile au capital de 15244,90 EUR",0,,
Dominique Tian,executive,SCI,Gérant,NÉANT,"Société civile au capital de 12195,92 EUR",0,,
Dominique Tian,executive,SCI,Gérant,NÉANT,"Société civile au capital de 9909,19 EUR",0,,
Dominique Tian,executive,SCI,Gérant,NÉANT,"Société civile au capital de 1372,04 EUR",0,,
Dominique Tian,executive,SCI,Gérant,NÉANT,"Société civile au capital de 9146,94 EUR",0,,
Dominique Tian,executive,SCI,Gérant,NÉANT,"Société civile au capital de 6860,21 EUR",0,,
Dominique Tian,executive,SCI LE,Gérant,NÉANT,"Société civile au capital de 4573,47 EUR",0,,
Dominique Tian,executive,SOCIETE LOCALE D'EQUIPEMENT ET D'AMENAGEMENT DE L'AIRE MARSEILLAISE (SOLEMA),Membre du Conseil d'Administration,NÉANT,,0,,
Dominique Tian,executive,Thalassa Form,Gérant,NÉANT,Société civile au capital de 4573 EUR,0,,
Dominique Watrin,executive,,,,,,,
Dominique Watrin,executive,Établissement Public de Gestion Immobilière du Nord-Pas-de-Calais (EPINORPA),Membre du Conseil d'Administration,NÉANT,,0,,
Edith Gueugneau,executive,NÉANT,,,,,,
Édouard Courtial,executive,NÉANT,,,,,,
Edouard Philippe,executive,,,,,,,
Edouard Philippe,executive,,,,,,,
Edouard Philippe,executive,Agence d'Urbanisme de la région Havraise,Membre du Conseil d'Administration,NÉANT,,0,,
Edouard Philippe,executive,Association Internationale des Villes et Ports,Membre du Conseil d'Administration,NÉANT,,0,,
Edouard Philippe,executive,Association Le Havre - Dalian,,NÉANT,,0,,
Edouard Philippe,executive,Association Le Havre - Développement,Président,NÉANT,,0,,
Edouard Philippe,executive,Ecole Supérieure d'Art et de Design Rouen - Le Havre,Président du conseil d'administration,NÉANT,,0,,
Edouard Philippe,executive,Ecole supérieure d'art et de design Rouen-le Havre,Président du conseil d'administration,NÉANT,,0,,
Edouard Philippe,executive,"Etablissement public culturel 'Le Volcan', Scène nationale",Président,NÉANT,,0,,
Edouard Philippe,executive,Etablissement Public Foncier de Normandie,Membre du Conseil d'Administration,NÉANT,,0,,
Edouard Philippe,executive,Groupe Hospitalier du Havre,Président du Conseil de Surveillance,NÉANT,,0,,
Edouard Philippe,executive,Office du Tourisme du Havre et de la Pointe de Caux,Président,NÉANT,,0,,
Edouard Philippe,executive,Port du Havre,Membre du Conseil d'Administration,NÉANT,,0,,
Eduardo Rihan Cypel,executive,NÉANT,,,,,,
Éliane Assassi,executive,NÉANT,,,,,,
Éliane Giraud,executive,GIP Arc Nucléart CEREMA,Présidente -  Conseil d'Administration,NÉANT,,0,,
Éliane Giraud,executive,Assemblée des régions d'Europe,Assemblée Générale  et Bureau,NÉANT,,0,,
Éliane Giraud,executive,Association 'Espace Belledonne',,,,,,
Éliane Giraud,executive,Association 'La 27ème Région',Assemblée Générale et Conseil d'Administration,,,,,
Éliane Giraud,executive,Associations des région de France,Commission transports,NÉANT,,0,,
Éliane Giraud,executive,CDDRA - Grésivaudan - 38,,,,,,
Éliane Giraud,executive,CDDRRA - Sud Grésivaudan - 38,,,,,,
Éliane Giraud,executive,CNFPT,Conseil régional d'orientation,,,,,
Éliane Giraud,executive,Comité de délimitation des secteurs d'évaluation 38,Suppléante,,,,,
Éliane Giraud,executive,Comité de Massif des Alpes,,,,,,
Éliane Giraud,executive,Comité de pilotage 'RER' franco-valdo-genevois et groupe de concertation,,,,,,
Éliane Giraud,executive,Comité de pilotage billetique régionale OùRA!,,,,,,
Éliane Giraud,executive,Comité de pilotage Cadencement,,,,,,
Éliane Giraud,executive,Comité de pilotage CEVA,,,,,,
Éliane Giraud,executive,"Comité de pilotage coordination transports publics, Espace Métropole Savoie",,,,,,
Éliane Giraud,executive,Comité de pilotage de la gare de Lyon Part-Dieu,,,,,,
Éliane Giraud,executive,Comité de pilotage de la gare de Lyon Perrache,,,,,,
Éliane Giraud,executive,Comité de pilotage de la ligne Saint-Gervais - Chamonix - Vallorcine (CPER ferroviaire),,,,,,
Éliane Giraud,executive,Comité de pilotage de la Rive droite du Rhône,,,,,,
Éliane Giraud,executive,Comité de pilotage des études du NDL (nœud ferroviaire lyonnais),,,,,,
Éliane Giraud,executive,Comité de pilotage du projet de gare d'Aix-les-Bains (CPER) - 73,,,,,,
Éliane Giraud,executive,Comité de pilotage du projet de gare de Chambéry (CPER) - 73,,,,,,
Éliane Giraud,executive,Comité de pilotage du projet de gare de Grenoble PMR CAG (CPER) - 38,,,,,,
Éliane Giraud,executive,Comité de pilotage du projet Ouest lyuonnais (CPER ferroviaire),,,,,,
Éliane Giraud,executive,Comité de pilotage Lyon Turin (accès français),,,,,,
Éliane Giraud,executive,Comité de pilotage matériel ferroviaire régionale (sncf - régions),,,,,,
Éliane Giraud,executive,Comité de pilotage REAL '(réseau express de l'aire métropolitaine lyonnaiseà),,,,,,
Éliane Giraud,executive,Comité de pilotage Région - RFF,,,,,,
Éliane Giraud,executive,Comité de pilotage Région - SNCF,,,,,,
Éliane Giraud,executive,"Comité de pilotage région 'Véloroutes, voies vertes'",,,,,,
Éliane Giraud,executive,Comité de pilotage Sillon alpin sud (CPER ferroviaire),,,,,,
Éliane Giraud,executive,Comité de rivière Guiers - 38,,,,,,
Éliane Giraud,executive,Comité pour la liaison européenne Transalpine - Lyon - Turin,,,,,,
Éliane Giraud,executive,Comité régional de l'enseignement agricole (C.R.E.A),,,,,,
Éliane Giraud,executive,Comité régional des partenaires (transports régionaux de voyageurs),Vice présidente déléguée,,,,,
Éliane Giraud,executive,Commission 'Déplacement' du CRFG,,,,,,
Éliane Giraud,executive,Commission consultative de l'environnement de l'aérodrome d'Annecy-Meythet,Suppléante,,,,,
Éliane Giraud,executive,Commission consultative de l'environnement de l'aérodrome dAnnemasse,Suppléante,,,,,
Éliane Giraud,executive,Commission consultative de l'environnement de l'aérodrome de Chambéry-Aix les Bains,Suppléante,,,,,
Éliane Giraud,executive,Commission consultative de l'environnement de l'aérodrome de Grenoble-Le Versoud,Suppléante,,,,,
Éliane Giraud,executive,Commission consultative de l'environnement de l'aérodrome de Grenoble-St Geoirs,Suppléante,,,,,
Éliane Giraud,executive,Commission consultative de l'environnement de l'aérodrome de Saint-Etienne-Loire,Suppléante,,,,,
Éliane Giraud,executive,Commission consultative de l'environnement de l'aérodrome de Valence-Chabeuil,Suppléante,,,,,
Éliane Giraud,executive,Commission consultative de l'environnement de l'aérodrome de Villefranche-Tarare,Suppléante,,,,,
Éliane Giraud,executive,Commission de concertation Enseignement privé Grenoble,,,,,,
Éliane Giraud,executive,Commission départementale de la coopération intercommunale - Isère,,,,,,
Éliane Giraud,executive,Commission départementale des évaluations cadastrales 38,Suppléante,,,,,
Éliane Giraud,executive,Commission permanente du Comité de massif,,,,,,
Éliane Giraud,executive,Commission régionale d'attribution des compléments de bourses au mérite,,,,,,
Éliane Giraud,executive,Conseil académique de l'éducation nationale de Grenoble C.A.E.N,,,,,,
Éliane Giraud,executive,Conseil supérieur de la fonction publique territoriale (ARF),,,,,,
Éliane Giraud,executive,Convention Interrégionale pour le massif des Alpes,"Comité de programmation, suppléante",,,,,
Éliane Giraud,executive,Convention Interrégionale pour le massif des Alpes,"Comité de suivi et d'évaluation, suppléante",,,,,
Éliane Giraud,executive,Etablissement Public Foncier Local de Grenoble - 38,Suppléante,,,,,
Éliane Giraud,executive,Fonds pour le développement d'une politique intermodale des transports dans le massif alpin - CA (SFTRF - Soc. Tunnel Fréjus),,,,,,
Éliane Giraud,executive,GIP Atelier Technique des Espaces Naturels - ATEN,,,,,,
Éliane Giraud,executive,Groupement des Autorités Responsables de Transport,Suppléante,,,,,
Éliane Giraud,executive,IEP de Grenoble,CA,,,,,
Éliane Giraud,executive,Lycée Horticole - Saint-Ismier,,,,,,
Éliane Giraud,executive,Lycée Pierre du Terrail - Pontcharra,,,,,,
Éliane Giraud,executive,Lycée Professionnel André Argouges - Grenoble,,,,,,
Éliane Giraud,executive,Lycée professionnel Françoise Dolto - Le fontanil Cornillon,Suppléante,,,,,
Éliane Giraud,executive,Mission locale Grésivaudan,,,,,,
Éliane Giraud,executive,OPAC 38,NÉANT,60 EUR par réunion,60  par réunion,,,
Éliane Giraud,executive,OPAC de l'Isère,Administrateur au Conseil d'administration,,,,,
Éliane Giraud,executive,PDIE et Confluence,,,,,,
Éliane Giraud,executive,PPT - Plan Pastoral territoire - 38,,,,,,
Éliane Giraud,executive,Rhône-Alpes Tourisme,NÉANT,NÉANT,,0,,
Éliane Giraud,executive,SPL Sud Rhône-Alpes Déplacements Drôme-Ardèche,Conseil d'administration,,,,,
Éliane Giraud,executive,Syndicat Mixte des Transports pour l'aire Métropolitaine Lyonnaise,Comité syndical,,,,,
Élie Aboud,executive,NÉANT,,,,,,
Élisabeth Doineau,executive,SA HLM  Mayenne Habitat,Membre du Conseil D'administration,NÉANT,,0,,
Elisabeth Guigou,executive,Association Europartenaire,Présidente fondatrice,NÉANT,,0,,
Elisabeth Guigou,executive,Association Notre Europe Jacques Delors,Membre du conseil d'administration,NÉANT,,0,,
Elisabeth Guigou,executive,IPEMED  Institut de prospective économique du monde méditerranéen,Membre (Président du comité d'orientation juqu'en 2012),NÉANT,,0,,
Elisabeth Lamure,executive,NÉANT,,,,,,
Elisabeth Pochon,executive,NÉANT,,,,,,
Emeric Bréhier,executive,NÉANT,,,,,,
Éric Alauzet,executive,NÉANT,,,,,,
Eric Bocquet,executive,NÉANT,,,,,,
Éric Ciotti,executive,NÉANT,,,,,,
Éric Doligé,executive,,,,,,,
Éric Doligé,executive,,,,,,,
Éric Doligé,executive,,,,,,,
Éric Doligé,executive,ADEL Agence de Développement économique du Loiret,Président,NÉANT,,0,,
Éric Doligé,executive,Service départementale de service d'incendie et de secours du Loiret,Président,NÉANT,,0,,
Éric Doligé,executive,SMAEDAOL Syndicat Mixte d'Aménagement et de gestion de l'Aerodrome d'Orléans et du Loiret,Président,NÉANT,,0,,
Éric Jalton,executive,Communauté d'agglomération Cap Excellence,1er Vice-président,26952 EUR par an,2246 par mois depuis mars 2013 (820 EUR de 06/2008 à 03/2013),26952,,
Éric Jeansannetas,executive,Mission Locale de la Creuse,Président du Conseil d'Administration,NÉANT,,0,,
Éric Straumann,executive,Agence de développement touristique du Département du Haut-Rhin,Président de l'Association depuis 2008,NÉANT,,0,,
Éric Straumann,executive,Société d'Economie Mixte de Haut Alsace (SEMHA),Membre du Conseil d'Administration depuis 2007,NÉANT,Ancien président (2004-2007),0,,
Éric Woerth,executive,Groupement d'intérêt public pour le développement durable de Chantilly,Président délégué,NÉANT,,0,,
Ericka Bareigts,executive,,,,,,,
Ericka Bareigts,executive,Université de la Réunion,Membre du conseil d'administration,NÉANT,,0,,
Erwann Binet,executive,,,,,,,
Erwann Binet,executive,,,,,,,
Estelle Grelier,executive,NÉANT,,,,,,
Esther Benbassa,executive,NÉANT,,,,,,
Étienne Blanc,executive,NÉANT,,,,,,
Eva Sas,executive,NÉANT,,,,,,
Évelyne Didier,executive,NÉANT,,,,,,
Évelyne Yonnet-Salvator,executive,NÉANT,,,,,,
Fabienne Keller,executive,,,,,,,
Fabienne Keller,executive,SEM CTS (Compagnie des Transports Strasbourgeois),Exploitation des Transports Publics dans l'Agglomération et le Département,NÉANT,,0,,
Fabienne Keller,executive,AFD (Agence Française pour le Développement),Financement du Développement Nord-Sud (nommée par le Sénat),NÉANT,,0,,
Fabienne Keller,executive,ANDRA (Agence Nationale pour la Gestion des Déchets Radioactifs),Gestion des Déchets Radioactifs (nommée par l'OPECCST),NÉANT,,0,,
Fabienne Keller,executive,Conseil de Surveillance des Investissements d'Avenir,Suivi des Investissements d'Avenir (nommée par le Sénat),NÉANT,,0,,
Fabrice Verdier,executive,Sud de France Développement,Président,NÉANT,Structure qui accompagne les entreprises sur les marchés nationaux et internationaux ainsi que la destination touristique languedoc-Roussillon,0,,
Fanélie Carrey-Conte,executive,,,,,,,
Fanélie Carrey-Conte,executive,Centre des Jeunes Dirigeants et Acteurs de l'Economie Sociale (association loi 1901),Membre du conseil d'administration,NÉANT,,0,,
Fanny Dombre Coste,executive,Caisse d'Epargne,Membre du Conseil d'Administration,NÉANT,Pour la ville de Montpellier,0,,
Fanny Dombre Coste,executive,Enjoy,Membre du Conseil d'Administration,NÉANT,Pour la ville de Montpellier,0,,
Fanny Dombre Coste,executive,Etablissement public commercial Marie Caisergues,Membre du Conseil d'Administration,NÉANT,Pour la ville de Montpellier,0,,
Fanny Dombre Coste,executive,Office de tourisme de la ville de Montpellier,Présidente,NÉANT,,0,,
Félix Desplan,executive,Comité des finances locales,Membre,NÉANT,Participation en qualité de maire représentant l'association des Maires de Guadeloupe (AMG),0,,
Félix Desplan,executive,Agence des 50 pas géométriques,Membre du Conseil d'Administration,NÉANT,"Participation au conseil d'administration en qualité de maire, pour les décisions relatives au budget de l'agence,...",0,,
